Year,Branch,Service,Count
2010,Army,Active,566045
2010,Navy,Active,327697
2010,Marine,Active,202612
2010,AirForce,Active,334198
2011,Army,Active,565463
2011,Navy,Active,324666
2011,Marine,Active,201026
2011,AirForce,Active,333162
2012,Army,Active,550063
2012,Navy,Active,318818
2012,Marine,Active,198820
2012,AirForce,Active,332834
2013,Army,Active,532043
2013,Navy,Active,324308
2013,Marine,Active,195848
2013,AirForce,Active,330485
2014,Army,Active,508210
2014,Navy,Active,326054
2014,Marine,Active,187891
2014,AirForce,Active,316332
2015,Army,Active,491365
2015,Navy,Active,327801
2015,Marine,Active,183417
2015,AirForce,Active,311357
2016,Army,Active,475400
2016,Navy,Active,324524
2016,Marine,Active,183501
2016,AirForce,Active,317883
2017,Army,Active,476245
2017,Navy,Active,323933
2017,Marine,Active,184401
2017,AirForce,Active,322787
2018,Army,Active,476179
2018,Navy,Active,329851
2018,Marine,Active,185415
2018,AirForce,Active,325880
2019,Army,Active,483941
2019,Navy,Active,336985
2019,Marine,Active,186009
2019,AirForce,Active,332101
2020,Army,Active,485383
2020,Navy,Active,346520
2020,Marine,Active,180958
2020,AirForce,Active,333790
2021,Army,Active,486490
2021,Navy,Active,347677
2021,Marine,Active,179678
2021,AirForce,Active,334634
2010,Army,Civilian,287570
2010,Navy/Marine,Civilian,197010
2010,AirForce,Civilian,169401
2010,Other,Civilian,107178
2011,Army,Civilian,281527
2011,Navy/Marine,Civilian,198823
2011,AirForce,Civilian,175499
2011,Other,Civilian,111407
2012,Army,Civilian,275620
2012,Navy/Marine,Civilian,199105
2012,AirForce,Civilian,169767
2012,Other,Civilian,111152
2013,Army,Civilian,259389
2013,Navy/Marine,Civilian,193530
2013,AirForce,Civilian,166653
2013,Other,Civilian,108460
2014,Army,Civilian,252749
2014,Navy/Marine,Civilian,192596
2014,AirForce,Civilian,163222
2014,Other,Civilian,107555
2015,Army,Civilian,249854
2015,Navy/Marine,Civilian,202216
2015,AirForce,Civilian,165507
2015,Other,Civilian,108042
2016,Army,Civilian,248810
2016,Navy/Marine,Civilian,207025
2016,AirForce,Civilian,167903
2016,Other,Civilian,110254
2017,Army,Civilian,245918
2017,Navy/Marine,Civilian,206240
2017,AirForce,Civilian,166331
2017,Other,Civilian,108892
2018,Army,Civilian,247617
2018,Navy/Marine,Civilian,195703
2018,AirForce,Civilian,17752
2018,Other,Civilian,110170
2019,Army,Civilian,251449
2019,Navy/Marine,Civilian,201757
2019,AirForce,Civilian,169899
2019,Other,Civilian,113734
2020,Army,Civilian,252747
2020,Navy/Marine,Civilian,206303
2020,AirForce,Civilian,172857
2020,Other,Civilian,113640
2021,Army,Civilian,250317
2021,Navy/Marine,Civilian,205818
2021,AirForce,Civilian,18852
2021,Other,Civilian,113954
2010,Reserve,Reserve,857265
2011,Reserve,Reserve,855868
2012,Reserve,Reserve,848303
2013,Reserve,Reserve,842510
2014,Reserve,Reserve,831992
2015,Reserve,Reserve,819063
2016,Reserve,Reserve,818305
2017,Reserve,Reserve,815119
2018,Reserve,Reserve,802842
2019,Reserve,Reserve,807602
2020,Reserve,Reserve,802248
2021,Reserve,Reserve,800064
